Full sealed-sector lists (best variant = A and B, identical).
  (14,16) type=1 normal           Item= 168 addl=0
  (15,16) type=1 normal           Item= 169 addl=0
  (16,16) type=1 normal           Item= 170 addl=0
  (18,16) type=1 normal           Item= 171 addl=0
  (19,16) type=1 normal           Item=  -1 addl=0
  (22,16) type=1 normal           Item=  -1 addl=0
  (23,16) type=1 normal           Item= 172 addl=0
  (24,16) type=1 normal           Item= 173 addl=0
  (25,16) type=1 normal           Item= 174 addl=0
  (27,16) type=1 normal           Item= 175 addl=0
  (28,16) type=1 normal           Item=  -1 addl=0
  (30,16) type=1 normal           Item= 176 addl=0
  ( 3,17) type=1 normal           Item=  -1 addl=0
  ( 4,17) type=1 normal           Item= 177 addl=0
  (10,17) type=1 normal           Item= 178 addl=0
  (11,17) type=1 normal           Item= 179 addl=0
  (15,17) type=1 normal           Item=  -1 addl=0
  (16,17) type=1 normal           Item=  -1 addl=0
  (22,17) type=1 normal           Item=  -1 addl=0
  (23,17) type=1 normal           Item=  -1 addl=0
  (28,17) type=1 normal           Item= 180 addl=0
  (29,17) type=2 door             Item=  -1 addl=2
  (30,17) type=4 door_trigger     Item=  -1 addl=129
  ( 3,18) type=1 normal           Item=  -1 addl=0
  ( 4,18) type=1 normal           Item=  -1 addl=0
  ( 6,18) type=1 normal           Item=  -1 addl=0
  ( 7,18) type=1 normal           Item= 340 addl=0
  ( 8,18) type=1 normal           Item= 182 addl=0
  ( 9,18) type=1 normal           Item= 183 addl=0
  (10,18) type=1 normal           Item=  -1 addl=0
  (11,18) type=1 normal           Item= 184 addl=0
  (12,18) type=1 normal           Item=  -1 addl=0
  (13,18) type=1 normal           Item=  -1 addl=0
  (15,18) type=1 normal           Item= 185 addl=0
  (16,18) type=1 normal           Item= 324 addl=0
  (17,18) type=1 normal           Item=  -1 addl=0
  (18,18) type=1 normal           Item= 187 addl=0
  (19,18) type=1 normal           Item= 188 addl=0
  (20,18) type=1 normal           Item=  -1 addl=0
  (21,18) type=1 normal           Item= 189 addl=0
  (22,18) type=1 normal           Item=  -1 addl=0
  (23,18) type=1 normal           Item= 190 addl=0
  (25,18) type=1 normal           Item=  -1 addl=0
  (26,18) type=1 normal           Item=  -1 addl=0
  (28,18) type=1 normal           Item=  -1 addl=0
  (30,18) type=1 normal           Item=  -1 addl=0
  ( 1,19) type=1 normal           Item= 336 addl=0
  ( 2,19) type=1 normal           Item= 192 addl=0
  ( 3,19) type=1 normal           Item= 193 addl=0
  ( 4,19) type=1 normal           Item= 194 addl=0
  ( 6,19) type=1 normal           Item= 195 addl=0
  ( 7,19) type=1 normal           Item= 339 addl=0
  ( 8,19) type=1 normal           Item=  -1 addl=0
  ( 9,19) type=1 normal           Item=  -1 addl=0
  (10,19) type=1 normal           Item= 196 addl=0
  (11,19) type=1 normal           Item=  -1 addl=0
  (12,19) type=1 normal           Item=  -1 addl=0
  (13,19) type=1 normal           Item= 342 addl=0
  (15,19) type=1 normal           Item= 322 addl=0
  (16,19) type=1 normal           Item=  -1 addl=0
  (17,19) type=1 normal           Item= 198 addl=0
  (18,19) type=1 normal           Item= 199 addl=0
  (19,19) type=1 normal           Item= 200 addl=0
  (20,19) type=1 normal           Item=  -1 addl=0
  (21,19) type=1 normal           Item= 201 addl=0
  (22,19) type=1 normal           Item= 202 addl=0
  (23,19) type=1 normal           Item= 203 addl=0
  (25,19) type=1 normal           Item= 356 addl=0
  (26,19) type=1 normal           Item= 205 addl=0
  (28,19) type=1 normal           Item= 206 addl=0
  (30,19) type=1 normal           Item= 207 addl=0
  ( 1,20) type=1 normal           Item= 360 addl=0
  ( 2,20) type=1 normal           Item=  -1 addl=0
  ( 3,20) type=1 normal           Item= 209 addl=0
  ( 4,20) type=1 normal           Item= 210 addl=0
  (10,20) type=1 normal           Item=  -1 addl=0
  (11,20) type=1 normal           Item=  -1 addl=0
  (18,20) type=1 normal           Item= 211 addl=0
  (19,20) type=1 normal           Item=  -1 addl=0
  (26,20) type=1 normal           Item=  -1 addl=0
  (30,20) type=1 normal           Item= 212 addl=0
  ( 3,21) type=1 normal           Item= 213 addl=0
  ( 4,21) type=1 normal           Item= 214 addl=0
  (10,21) type=1 normal           Item= 215 addl=0
  (11,21) type=1 normal           Item= 216 addl=0
  (15,21) type=1 normal           Item= 217 addl=0
  (16,21) type=1 normal           Item=  -1 addl=0
  (18,21) type=1 normal           Item= 321 addl=0
  (19,21) type=1 normal           Item= 320 addl=0
  (22,21) type=1 normal           Item= 219 addl=0
  (23,21) type=1 normal           Item= 220 addl=0
  (24,21) type=1 normal           Item=  -1 addl=0
  (26,21) type=1 normal           Item=  -1 addl=0
  (28,21) type=1 normal           Item= 221 addl=0
  (30,21) type=1 normal           Item= 222 addl=0
  ( 3,22) type=1 normal           Item= 223 addl=0
  ( 4,22) type=1 normal           Item= 224 addl=0
  ( 5,22) type=1 normal           Item=  -1 addl=0
  ( 6,22) type=1 normal           Item= 225 addl=0
  ( 7,22) type=1 normal           Item= 226 addl=0
  ( 8,22) type=1 normal           Item=  -1 addl=0
  ( 9,22) type=1 normal           Item= 227 addl=0
  (10,22) type=1 normal           Item=  -1 addl=0
  (11,22) type=1 normal           Item= 228 addl=0
  (12,22) type=1 normal           Item= 229 addl=0
  (13,22) type=1 normal           Item=  -1 addl=0
  (15,22) type=1 normal           Item= 230 addl=0
  (16,22) type=1 normal           Item= 231 addl=0
  (24,22) type=1 normal           Item= 232 addl=0
  (25,22) type=1 normal           Item= 233 addl=0
  (26,22) type=1 normal           Item= 234 addl=0
  (28,22) type=1 normal           Item= 235 addl=0
  (29,22) type=1 normal           Item=  -1 addl=0
  (30,22) type=1 normal           Item=  -1 addl=0
  ( 3,23) type=1 normal           Item=  -1 addl=0
  ( 4,23) type=1 normal           Item=  -1 addl=0
  ( 5,23) type=1 normal           Item=  -1 addl=0
  ( 6,23) type=1 normal           Item=  -1 addl=0
  ( 7,23) type=1 normal           Item= 236 addl=0
  ( 8,23) type=1 normal           Item= 237 addl=0
  ( 9,23) type=1 normal           Item=  -1 addl=0
  (10,23) type=1 normal           Item=  -1 addl=0
  (11,23) type=1 normal           Item=  -1 addl=0
  (12,23) type=1 normal           Item= 338 addl=0
  (13,23) type=1 normal           Item= 238 addl=0
  (15,23) type=1 normal           Item=  -1 addl=0
  (16,23) type=1 normal           Item=  -1 addl=0
  (18,23) type=1 normal           Item=  -1 addl=0
  (19,23) type=1 normal           Item= 239 addl=0
  (20,23) type=1 normal           Item= 350 addl=0
  (21,23) type=1 normal           Item= 347 addl=0
  (22,23) type=1 normal           Item= 272 addl=0
  (24,23) type=1 normal           Item= 354 addl=0
  (28,23) type=1 normal           Item=  -1 addl=0
  ( 5,24) type=1 normal           Item=  -1 addl=0
  ( 6,24) type=1 normal           Item=  -1 addl=0
  (10,24) type=1 normal           Item= 244 addl=0
  (11,24) type=1 normal           Item= 245 addl=0
  (15,24) type=1 normal           Item= 246 addl=0
  (16,24) type=4 door_trigger     Item=  -1 addl=129
  (17,24) type=2 door             Item=  -1 addl=0
  (18,24) type=4 door_trigger     Item=  -1 addl=129
  (19,24) type=1 normal           Item= 247 addl=0
  (20,24) type=1 normal           Item= 248 addl=0
  (21,24) type=1 normal           Item= 348 addl=0
  (22,24) type=4 door_trigger     Item= 345 addl=129
  (23,24) type=2 door             Item=  -1 addl=5
  (24,24) type=4 door_trigger     Item=  -1 addl=129
  (25,24) type=1 normal           Item= 250 addl=0
  (26,24) type=1 normal           Item=  -1 addl=0
  (27,24) type=1 normal           Item= 251 addl=0
  (28,24) type=1 normal           Item=  -1 addl=0
  (29,24) type=1 normal           Item= 252 addl=0
  (30,24) type=1 normal           Item=  -1 addl=0
  ( 1,25) type=1 normal           Item= 373 addl=0
  ( 2,25) type=1 normal           Item= 254 addl=0
  ( 5,25) type=1 normal           Item= 255 addl=0
  ( 6,25) type=1 normal           Item= 256 addl=0
  (10,25) type=1 normal           Item=  -1 addl=0
  (11,25) type=1 normal           Item= 257 addl=0
  (15,25) type=1 normal           Item=  -1 addl=0
  (16,25) type=1 normal           Item=  -1 addl=0
  (18,25) type=1 normal           Item= 258 addl=0
  (19,25) type=1 normal           Item= 259 addl=0
  (20,25) type=1 normal           Item= 351 addl=0
  (21,25) type=1 normal           Item= 349 addl=0
  (22,25) type=1 normal           Item= 346 addl=0
  (24,25) type=1 normal           Item= 355 addl=0
  (27,25) type=1 normal           Item= 264 addl=0
  (29,25) type=1 normal           Item= 265 addl=0
  (30,25) type=1 normal           Item= 358 addl=0
  ( 1,26) type=1 normal           Item=  -1 addl=0
  ( 2,26) type=1 normal           Item= 268 addl=0
  ( 5,26) type=1 normal           Item=  -1 addl=0
  ( 6,26) type=1 normal           Item=  -1 addl=0
  ( 8,26) type=1 normal           Item= 269 addl=0
  ( 9,26) type=1 normal           Item=  -1 addl=0
  (10,26) type=1 normal           Item=  -1 addl=0
  (11,26) type=1 normal           Item=  -1 addl=0
  (12,26) type=1 normal           Item= 270 addl=0
  (13,26) type=1 normal           Item= 271 addl=0
  (14,26) type=1 normal           Item=  -1 addl=0
  (15,26) type=1 normal           Item= 273 addl=0
  (16,26) type=1 normal           Item=  -1 addl=0
  (24,26) type=1 normal           Item= 274 addl=0
  (27,26) type=1 normal           Item= 275 addl=0
  ( 1,27) type=1 normal           Item= 276 addl=0
  ( 2,27) type=1 normal           Item=  -1 addl=0
  ( 5,27) type=1 normal           Item= 277 addl=0
  ( 6,27) type=1 normal           Item= 278 addl=0
  ( 8,27) type=1 normal           Item= 279 addl=0
  ( 9,27) type=1 normal           Item=  -1 addl=0
  (10,27) type=1 normal           Item=  -1 addl=0
  (11,27) type=1 normal           Item=  -1 addl=0
  (12,27) type=1 normal           Item= 280 addl=0
  (13,27) type=1 normal           Item=  -1 addl=0
  (14,27) type=1 normal           Item= 281 addl=0
  (15,27) type=1 normal           Item= 282 addl=0
  (16,27) type=1 normal           Item=  -1 addl=0
  (18,27) type=1 normal           Item= 283 addl=0
  (19,27) type=1 normal           Item= 284 addl=0
  (20,27) type=1 normal           Item=  -1 addl=0
  (21,27) type=1 normal           Item= 352 addl=0
  (23,27) type=1 normal           Item= 285 addl=0
  (24,27) type=1 normal           Item= 286 addl=0
  (25,27) type=1 normal           Item= 287 addl=0
  (27,27) type=1 normal           Item=  -1 addl=0
  (28,27) type=1 normal           Item= 288 addl=0
  (29,27) type=1 normal           Item= 359 addl=0
  ( 1,28) type=1 normal           Item= 289 addl=0
  ( 2,28) type=1 normal           Item=  -1 addl=0
  ( 3,28) type=1 normal           Item=  -1 addl=0
  ( 4,28) type=1 normal           Item= 337 addl=0
  ( 5,28) type=1 normal           Item= 290 addl=0
  ( 6,28) type=1 normal           Item= 291 addl=0
  ( 8,28) type=1 normal           Item= 292 addl=0
  ( 9,28) type=1 normal           Item= 293 addl=0
  (13,28) type=1 normal           Item=  -1 addl=0
  (14,28) type=1 normal           Item= 294 addl=0
  (18,28) type=1 normal           Item= 371 addl=0
  (19,28) type=1 normal           Item= 295 addl=0
  (20,28) type=1 normal           Item= 296 addl=0
  (21,28) type=1 normal           Item= 297 addl=0
  (22,28) type=2 door             Item=  -1 addl=3
  (23,28) type=4 door_trigger     Item=  -1 addl=131
  (24,28) type=1 normal           Item=  -1 addl=0
  (25,28) type=1 normal           Item=  -1 addl=0
  (27,28) type=1 normal           Item= 298 addl=0
  ( 1,29) type=1 normal           Item= 299 addl=0
  ( 2,29) type=1 normal           Item= 300 addl=0
  ( 3,29) type=1 normal           Item= 301 addl=0
  ( 4,29) type=1 normal           Item= 302 addl=0
  ( 5,29) type=1 normal           Item=  -1 addl=0
  ( 6,29) type=1 normal           Item=  -1 addl=0
  ( 8,29) type=1 normal           Item=  -1 addl=0
  ( 9,29) type=1 normal           Item= 343 addl=0
  (13,29) type=1 normal           Item= 344 addl=0
  (14,29) type=1 normal           Item= 305 addl=0
  (18,29) type=1 normal           Item= 306 addl=0
  (19,29) type=1 normal           Item=  -1 addl=0
  (20,29) type=1 normal           Item= 307 addl=0
  (21,29) type=1 normal           Item= 353 addl=0
  (23,29) type=1 normal           Item=  -1 addl=0
  (24,29) type=1 normal           Item= 309 addl=0
  (25,29) type=1 normal           Item= 310 addl=0
  (27,29) type=1 normal           Item= 311 addl=0
  (28,29) type=1 normal           Item= 312 addl=0
  ( 9,30) type=1 normal           Item= 313 addl=0
  (13,30) type=1 normal           Item=  -1 addl=0
  (14,30) type=1 normal           Item= 314 addl=0
  (27,30) type=1 normal           Item= 315 addl=0
  (28,30) type=1 normal           Item= 357 addl=0

=== L12 Beware of Low-Flying Nightmares  sealed=467 ===
  ( 4, 1) type=1 normal           Item=  33 addl=0
  ( 6, 1) type=1 normal           Item=  34 addl=0
  ( 8, 1) type=1 normal           Item= 346 addl=0
  (14, 1) type=1 normal           Item= 372 addl=0
  (16, 1) type=1 normal           Item=  -1 addl=0
  (27, 1) type=1 normal           Item=  -1 addl=0
  (29, 1) type=1 normal           Item= 364 addl=0
  ( 2, 2) type=1 normal           Item=  39 addl=0
  ( 3, 2) type=1 normal           Item=  40 addl=0
  ( 4, 2) type=1 normal           Item=  -1 addl=0
  ( 5, 2) type=1 normal           Item=  41 addl=0
  ( 6, 2) type=1 normal           Item=  42 addl=0
  ( 7, 2) type=1 normal           Item= 220 addl=0
  ( 8, 2) type=1 normal           Item= 210 addl=0
  (10, 2) type=1 normal           Item=  44 addl=0
  (11, 2) type=1 normal           Item=  -1 addl=0
  (12, 2) type=1 normal           Item=  45 addl=0
  (13, 2) type=1 normal           Item=  46 addl=0
  (14, 2) type=1 normal           Item=  47 addl=0
  (15, 2) type=1 normal           Item=  -1 addl=0
  (16, 2) type=1 normal           Item=  -1 addl=0
  (18, 2) type=1 normal           Item=  -1 addl=0
  (19, 2) type=1 normal           Item=  48 addl=0
  (20, 2) type=1 normal           Item= 350 addl=0
  (24, 2) type=1 normal           Item=  -1 addl=0
  (25, 2) type=1 normal           Item=  51 addl=0
  (26, 2) type=1 normal           Item=  -1 addl=0
  (27, 2) type=1 normal           Item=  52 addl=0
  (28, 2) type=1 normal           Item=  -1 addl=0
  (29, 2) type=1 normal           Item= 363 addl=0
  (30, 2) type=1 normal           Item= 362 addl=0
  ( 2, 3) type=1 normal           Item=  -1 addl=0
  ( 4, 3) type=1 normal           Item=  -1 addl=0
  ( 6, 3) type=1 normal           Item=  -1 addl=0
  ( 8, 3) type=4 door_trigger     Item= 209 addl=129
  ( 9, 3) type=2 door             Item=  -1 addl=7
  (10, 3) type=4 door_trigger     Item=  55 addl=129
  (12, 3) type=1 normal           Item= 347 addl=0
  (14, 3) type=1 normal           Item=  -1 addl=0
  (16, 3) type=1 normal           Item=  -1 addl=0
  (18, 3) type=1 normal           Item=  56 addl=0
  (20, 3) type=1 normal           Item=  -1 addl=0
  (25, 3) type=1 normal           Item=  57 addl=0
  (27, 3) type=1 normal           Item=  -1 addl=0
  (29, 3) type=1 normal           Item=  58 addl=0
  ( 1, 4) type=1 normal           Item=  -1 addl=0
  ( 2, 4) type=1 normal           Item=  59 addl=0
  ( 3, 4) type=1 normal           Item=  -1 addl=0
  ( 4, 4) type=1 normal           Item= 242 addl=0
  ( 5, 4) type=1 normal           Item=  60 addl=0
  ( 6, 4) type=1 normal           Item=  61 addl=0
  ( 7, 4) type=1 normal           Item=  62 addl=0
  ( 8, 4) type=1 normal           Item=  54 addl=0
  (10, 4) type=1 normal           Item=  -1 addl=0
  (11, 4) type=1 normal           Item=  64 addl=0
  (12, 4) type=1 normal           Item=  65 addl=0
  (13, 4) type=1 normal           Item=  -1 addl=0
  (14, 4) type=1 normal           Item=  -1 addl=0
  (15, 4) type=1 normal           Item=  66 addl=0
  (16, 4) type=1 normal           Item=  -1 addl=0
  (17, 4) type=1 normal           Item=  67 addl=0
  (18, 4) type=1 normal           Item=  68 addl=0
  (19, 4) type=1 normal           Item=  69 addl=0
  (20, 4) type=1 normal           Item=  70 addl=0
  (21, 4) type=1 normal           Item=  71 addl=0
  (23, 4) type=1 normal           Item= 367 addl=0
  (24, 4) type=1 normal           Item=  72 addl=0
  (25, 4) type=1 normal           Item=  -1 addl=0
  (26, 4) type=1 normal           Item=  73 addl=0
  (27, 4) type=1 normal           Item=  74 addl=0
  (28, 4) type=1 normal           Item=  -1 addl=0
  (29, 4) type=1 normal           Item=  -1 addl=0
  ( 1, 5) type=1 normal           Item=  75 addl=0
  ( 3, 5) type=1 normal           Item=  -1 addl=0
  ( 5, 5) type=1 normal           Item=  -1 addl=0
  ( 7, 5) type=1 normal           Item=  -1 addl=0
  (11, 5) type=1 normal           Item=  76 addl=0
  (13, 5) type=1 normal           Item=  77 addl=0
  (15, 5) type=1 normal           Item=  78 addl=0
  (16, 5) type=1 normal           Item=  -1 addl=0
  (17, 5) type=1 normal           Item=  -1 addl=0
  (19, 5) type=1 normal           Item=  79 addl=0
  (21, 5) type=1 normal           Item=  -1 addl=0
  (23, 5) type=1 normal           Item=  -1 addl=0
  (25, 5) type=1 normal           Item=  80 addl=0
  (26, 5) type=1 normal           Item=  -1 addl=0
  (27, 5) type=1 normal           Item=  81 addl=0
  (29, 5) type=1 normal           Item=  82 addl=0
  ( 1, 6) type=1 normal           Item= 332 addl=0
  ( 2, 6) type=1 normal           Item=  -1 addl=0
  ( 3, 6) type=1 normal           Item=  -1 addl=0
  ( 4, 6) type=1 normal           Item=  -1 addl=0
  ( 5, 6) type=1 normal           Item=  83 addl=0
  ( 6, 6) type=1 normal           Item=  -1 addl=0
  ( 7, 6) type=1 normal           Item=  -1 addl=0
  ( 8, 6) type=1 normal           Item=  85 addl=0
  ( 9, 6) type=1 normal           Item=  86 addl=0
  (11, 6) type=1 normal           Item=  87 addl=0
  (12, 6) type=1 normal           Item=  -1 addl=0
  (13, 6) type=1 normal           Item=  -1 addl=0
  (14, 6) type=1 normal           Item=  -1 addl=0
  (15, 6) type=1 normal           Item=  -1 addl=0
  (16, 6) type=1 normal           Item=  88 addl=0
  (17, 6) type=1 normal           Item=  89 addl=0
  (18, 6) type=1 normal           Item=  -1 addl=0
  (19, 6) type=1 normal           Item=  90 addl=0
  (20, 6) type=1 normal           Item=  -1 addl=0
  (21, 6) type=1 normal           Item=  91 addl=0
  (23, 6) type=1 normal           Item=  92 addl=0
  (24, 6) type=1 normal           Item=  -1 addl=0
  (25, 6) type=1 normal           Item=  -1 addl=0
  (26, 6) type=1 normal           Item=  -1 addl=0
  (27, 6) type=1 normal           Item=  93 addl=0
  (28, 6) type=1 normal           Item=  -1 addl=0
  (29, 6) type=1 normal           Item=  94 addl=0
  (30, 6) type=1 normal           Item=  95 addl=0
  ( 2, 7) type=1 normal           Item=  96 addl=0
  ( 4, 7) type=1 normal           Item=  -1 addl=0
  ( 5, 7) type=1 normal           Item=  -1 addl=0
  ( 6, 7) type=1 normal           Item=  -1 addl=0
  ( 8, 7) type=1 normal           Item=  -1 addl=0
  (12, 7) type=1 normal           Item=  97 addl=0
  (14, 7) type=1 normal           Item=  98 addl=0
  (16, 7) type=1 normal           Item=  -1 addl=0
  (18, 7) type=1 normal           Item=  -1 addl=0
  (20, 7) type=1 normal           Item=  -1 addl=0
  (25, 7) type=1 normal           Item= 100 addl=0
  (27, 7) type=1 normal           Item= 101 addl=0
  (29, 7) type=1 normal           Item= 102 addl=0
  ( 1, 8) type=1 normal           Item=  -1 addl=0
  ( 2, 8) type=1 normal           Item=  -1 addl=0
  ( 3, 8) type=1 normal           Item= 103 addl=0
  ( 4, 8) type=1 normal           Item=  -1 addl=0
  ( 5, 8) type=1 normal           Item=  -1 addl=0
  ( 6, 8) type=1 normal           Item=  -1 addl=0
  ( 7, 8) type=1 normal           Item=  -1 addl=0
  ( 8, 8) type=1 normal           Item= 104 addl=0
  ( 9, 8) type=1 normal           Item= 105 addl=0
  (11, 8) type=1 normal           Item= 106 addl=0
  (12, 8) type=1 normal           Item=  -1 addl=0
  (13, 8) type=1 normal           Item=  -1 addl=0
  (14, 8) type=1 normal           Item= 348 addl=0
  (15, 8) type=1 normal           Item= 108 addl=0
  (16, 8) type=1 normal           Item=  -1 addl=0
  (17, 8) type=1 normal           Item=  -1 addl=0
  (18, 8) type=1 normal           Item=  -1 addl=0
  (19, 8) type=1 normal           Item=  -1 addl=0
  (20, 8) type=1 normal           Item=  -1 addl=0
  (21, 8) type=4 door_trigger     Item=  -1 addl=129
  (22, 8) type=1 normal           Item=  -1 addl=0
  (24, 8) type=1 normal           Item= 112 addl=0
  (25, 8) type=1 normal           Item=  -1 addl=0
  (26, 8) type=1 normal           Item= 113 addl=0
  (27, 8) type=1 normal           Item=  -1 addl=0
  (28, 8) type=1 normal           Item= 114 addl=0
  (29, 8) type=4 door_trigger     Item=  -1 addl=129
  (30, 8) type=1 normal           Item=  -1 addl=0
  ( 1, 9) type=1 normal           Item=  -1 addl=0
  ( 3, 9) type=1 normal           Item= 115 addl=0
  ( 5, 9) type=1 normal           Item=  -1 addl=0
  ( 7, 9) type=1 normal           Item= 116 addl=0
  (11, 9) type=1 normal           Item= 117 addl=0
  (12, 9) type=1 normal           Item=  -1 addl=0
  (13, 9) type=1 normal           Item= 300 addl=0
  (15, 9) type=1 normal           Item= 118 addl=0
  (21, 9) type=2 door             Item=  -1 addl=6
  (29, 9) type=2 door             Item=  -1 addl=4
  ( 1,10) type=1 normal           Item=  -1 addl=0
  ( 2,10) type=1 normal           Item=  -1 addl=0
  ( 3,10) type=1 normal           Item= 121 addl=0
  ( 4,10) type=4 door_trigger     Item= 122 addl=129
  ( 5,10) type=1 normal           Item=  -1 addl=0
  ( 6,10) type=1 normal           Item=  -1 addl=0
  ( 7,10) type=1 normal           Item= 123 addl=0
  ( 8,10) type=1 normal           Item=  -1 addl=0
  (10,10) type=1 normal           Item= 124 addl=0
  (11,10) type=1 normal           Item= 125 addl=0
  (12,10) type=1 normal           Item= 126 addl=0
  (13,10) type=1 normal           Item= 127 addl=0
  (14,10) type=1 normal           Item= 128 addl=0
  (15,10) type=1 normal           Item= 129 addl=0
  (20,10) type=1 normal           Item= 245 addl=0
  (21,10) type=4 door_trigger     Item= 246 addl=129
  (22,10) type=1 normal           Item= 247 addl=0
  (23,10) type=1 normal           Item= 134 addl=0
  (24,10) type=1 normal           Item= 135 addl=0
  (25,10) type=1 normal           Item= 136 addl=0
  (27,10) type=1 normal           Item=  -1 addl=0
  (30,10) type=1 normal           Item= 139 addl=0
  ( 4,11) type=2 door             Item=  -1 addl=8
  (11,11) type=1 normal           Item= 143 addl=0
  (13,11) type=1 normal           Item= 144 addl=0
  (21,11) type=1 normal           Item=  -1 addl=0
  (23,11) type=1 normal           Item= 248 addl=0
  (25,11) type=1 normal           Item=  -1 addl=0
  ( 1,12) type=1 normal           Item=  -1 addl=0
  ( 2,12) type=1 normal           Item= 304 addl=0
  ( 3,12) type=1 normal           Item= 148 addl=0
  ( 4,12) type=4 door_trigger     Item=  -1 addl=129
  ( 5,12) type=1 normal           Item= 150 addl=0
  (21,12) type=1 normal           Item= 249 addl=0
  (22,12) type=1 normal           Item=  -1 addl=0
  (23,12) type=1 normal           Item= 153 addl=0
  (24,12) type=1 normal           Item= 154 addl=0
  (25,12) type=1 normal           Item= 155 addl=0
  (26,12) type=1 normal           Item= 352 addl=0
  ( 1,13) type=1 normal           Item=  -1 addl=0
  ( 3,13) type=1 normal           Item= 160 addl=0
  ( 5,13) type=1 normal           Item= 161 addl=0
  (12,13) type=7 pillar           Item=  10 addl=0
  (15,13) type=7 pillar           Item=   1 addl=0
  (17,13) type=7 pillar           Item=  17 addl=0
  (18,13) type=7 pillar           Item=   3 addl=0
  (22,13) type=1 normal           Item=  -1 addl=0
  (24,13) type=1 normal           Item= 164 addl=0
  (26,13) type=1 normal           Item= 165 addl=0
  (28,13) type=1 normal           Item=  -1 addl=0
  (30,13) type=1 normal           Item= 361 addl=0
  ( 1,14) type=1 normal           Item= 166 addl=0
  ( 2,14) type=1 normal           Item= 167 addl=0
  ( 3,14) type=1 normal           Item= 168 addl=0
  ( 4,14) type=1 normal           Item= 169 addl=0
  ( 5,14) type=1 normal           Item=  -1 addl=0
  ( 6,14) type=1 normal           Item=  -1 addl=0
  ( 7,14) type=1 normal           Item=  -1 addl=0
  ( 8,14) type=1 normal           Item=  -1 addl=0
  (12,14) type=7 pillar           Item=  18 addl=0
  (21,14) type=1 normal           Item= 177 addl=0
  (22,14) type=1 normal           Item= 250 addl=0
  (23,14) type=1 normal           Item=  -1 addl=0
  (24,14) type=1 normal           Item= 179 addl=0
  (25,14) type=1 normal           Item= 255 addl=0
  (26,14) type=1 normal           Item=  -1 addl=0
  (28,14) type=1 normal           Item= 180 addl=0
  (29,14) type=1 normal           Item= 181 addl=0
  (30,14) type=1 normal           Item= 182 addl=0
  ( 2,15) type=1 normal           Item= 183 addl=0
  ( 4,15) type=1 normal           Item= 184 addl=0
  ( 6,15) type=1 normal           Item=  -1 addl=0
  ( 7,15) type=1 normal           Item=  -1 addl=0
  ( 8,15) type=1 normal           Item=  -1 addl=0
  (21,15) type=1 normal           Item= 188 addl=0
  (23,15) type=1 normal           Item= 189 addl=0
  (24,15) type=1 normal           Item=  -1 addl=0
  (25,15) type=1 normal           Item= 190 addl=0
  (28,15) type=1 normal           Item=  -1 addl=0
  (30,15) type=1 normal           Item= 191 addl=0
  ( 2,16) type=1 normal           Item=  -1 addl=0
  ( 3,16) type=1 normal           Item= 299 addl=0
  ( 4,16) type=1 normal           Item= 193 addl=0
  ( 5,16) type=1 normal           Item= 194 addl=0
  ( 6,16) type=1 normal           Item= 195 addl=0
  ( 7,16) type=1 normal           Item=  -1 addl=0
  ( 8,16) type=1 normal           Item=  -1 addl=0
  (12,16) type=7 pillar           Item=  11 addl=0
  (18,16) type=7 pillar           Item=   5 addl=0
  (21,16) type=1 normal           Item= 200 addl=0
  (22,16) type=1 normal           Item=  -1 addl=0
  (23,16) type=1 normal           Item= 201 addl=0
  (24,16) type=1 normal           Item= 202 addl=0
  (25,16) type=1 normal           Item= 203 addl=0
  (26,16) type=1 normal           Item= 204 addl=0
  (28,16) type=1 normal           Item= 205 addl=0
  (29,16) type=1 normal           Item= 206 addl=0
  (30,16) type=1 normal           Item= 207 addl=0
  ( 3,17) type=1 normal           Item=  -1 addl=0
  ( 5,17) type=1 normal           Item=  -1 addl=0
  ( 7,17) type=1 normal           Item=  -1 addl=0
  (22,17) type=1 normal           Item= 353 addl=0
  (24,17) type=1 normal           Item=  -1 addl=0
  (26,17) type=1 normal           Item= 214 addl=0
  (28,17) type=1 normal           Item=  -1 addl=0
  (30,17) type=1 normal           Item= 215 addl=0
  ( 1,18) type=1 normal           Item= 216 addl=0
  ( 2,18) type=1 normal           Item=  -1 addl=0
  ( 3,18) type=1 normal           Item= 217 addl=0
  ( 4,18) type=1 normal           Item=  -1 addl=0
  ( 5,18) type=1 normal           Item= 218 addl=0
  ( 6,18) type=1 normal           Item= 219 addl=0
  ( 7,18) type=1 normal           Item=  -1 addl=0
  (18,18) type=7 pillar           Item=  20 addl=0
  (22,18) type=1 normal           Item= 223 addl=0
  (23,18) type=1 normal           Item= 224 addl=0
  (24,18) type=1 normal           Item=  -1 addl=0
  (25,18) type=1 normal           Item= 225 addl=0
  (26,18) type=1 normal           Item=  -1 addl=0
  (27,18) type=1 normal           Item= 226 addl=0
  (28,18) type=1 normal           Item= 354 addl=0
  (29,18) type=1 normal           Item= 228 addl=0
  (30,18) type=1 normal           Item=  -1 addl=0
  ( 1,19) type=1 normal           Item= 229 addl=0
  ( 3,19) type=1 normal           Item= 230 addl=0
  ( 5,19) type=1 normal           Item= 231 addl=0
  (12,19) type=7 pillar           Item=   7 addl=0
  (13,19) type=7 pillar           Item=  19 addl=0
  (15,19) type=7 pillar           Item=  12 addl=0
